tic_name            period       e_period     first_eclipse
tic00278861826     1.0676247     0.0000018     3354.606918
tic00278826996    19.1686175     0.0000444     3357.719889
tic00278683879    19.8996000     0.0137000     3364.604000
tic00278683875    19.8856000     0.0158000     3364.602000
tic00278683641     4.2418201     0.0000183     3354.492280
tic00277298694     1.9152717     0.0001438     3355.025459
tic00277297977     1.5596000     0.0036000     3544.365000
tic00277173651     7.7850008     0.0024718     3364.877300
tic00277026877     1.0864375     0.0000024     3355.215024
tic00276940117     1.3798026     0.0000056     3354.940647
tic00276790966     5.9482335     0.0007130     3358.665528
tic00272357134     4.1969221     0.0001201     3357.945130
tic00271975434    14.1180458     0.0054939     3364.061373
tic00271905985    10.9240516     0.0000252     3360.057577
tic00271903247     3.6217611     0.0000836     3393.454612
tic00271901807     1.0270153     0.0000010     3386.226815
tic00271893367     5.8574535     0.0003462     3355.618148
tic00271810835     1.1665108     0.0000048     3354.533383
tic00271807521     3.2300068     0.0000041     3355.963714
tic00271799457     3.8169778     0.0000213     3356.945022
tic00271640189     2.4602303     0.0000232     3355.819588
tic00271598229     8.9741136     0.0001118     3358.167889
tic00271596290     1.2824885     0.0000007     3354.328108
tic00270711572     1.5474082     0.0000481     3438.229512
tic00270673311     1.7679815     0.0000321     3439.328096
tic00270626438     0.6920564     0.0000023     3438.834189
tic00270575126     4.9966455     0.0002230     3443.163072
tic00270558485     9.8626646     0.0003436     3497.449489
tic00270507305     2.4565391     0.0000571     3493.060709
tic00270428717     0.9223608     0.0000281     3601.762507
tic00270424361     0.5055912     0.0000006     3390.857751
tic00269852699     5.1365196     0.0000170     3438.200243
tic00264871406     1.8626240     0.0000048     3492.791821
tic00264869608     1.2772837     0.0000084     3493.040978
tic00264869597     1.2772951     0.0000135     3493.045005
tic00262708171     2.0889556     0.0000306     3571.959840
tic00262708163     4.1780052     0.0001358     3571.959288
tic00262704328     0.9265462     0.0000007     3355.095559
tic00262615410     0.6384796     0.0000060     3354.683516
tic00262610865     3.9831489     0.0000783     3388.507938
tic00262610859     3.9831266     0.0002648     3388.507795
tic00262576400     5.6948535     0.0001552     3387.903687
tic00262575069     1.0997827     0.0000010     3386.594301
tic00262573698     5.7474496     0.0000307     3390.500194
tic00261332760     5.6725696     0.0000053     3355.976515
tic00261265716     1.6054142     0.0000109     3355.014676
tic00261136311     4.4356392     0.0000534     3440.419326
tic00261135983     4.2197859     0.0000414     3355.910739
tic00261135785     4.7582200     0.0000176     3354.762189
tic00261091441     3.7638105     0.0000162     3603.189492
tic00260950407     1.9611756     0.0000027     3440.303193
tic00260659986     7.1402043     0.0000068     3360.739434
tic00260659983     3.5699251     0.0001413     3357.175070
tic00260609205     4.4617307     0.0001936     3355.577375
tic00260608573     1.3840319     0.0000035     3355.692145
tic00260608425     0.7633489     0.0000085     3354.550012
tic00260608080     1.7098416     0.0000300     3386.452522
tic00260606384    11.0108504     0.0000663     3360.185804
tic00260542524    15.3410391     0.0000348     3357.173806
tic00260536927     5.7293278     0.0003221     3438.987851
tic00260504148     8.4183428     0.0000855     3357.755463
tic00260504147     8.4183350     0.0000806     3357.755450
tic00260503860     1.7111671     0.0000012     3355.537124
tic00260502102     7.3152092     0.0000043     3358.677061
tic00260476837     4.4658521     0.0000259     3359.118681
tic00260476835     2.2330167     0.0000550     3354.659987
tic00260373589     0.5473746     0.0000059     3358.545942
tic00260356429    21.0492682     0.0003604     3361.969042
tic00260353841     0.4203000     0.0003000     3355.239000
tic00260353839     0.4203000     0.0002000     3355.234000
tic00260352096     1.5613856     0.0000427     3355.371379
tic00260304800     3.4408202     0.0001831     3468.563791
tic00260304296     1.0251719     0.0000110     3388.826044
